No,Code,Company Name,Listing Date,Shares,Listing Board
122,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,"4,800,182,969",Watchlist
123,ENAK,Champ Resto Indonesia Tbk.,08 Feb 2022,"2,166,666,800",Development
124,BIKE,Sepeda Bersama Indonesia Tbk.,21 Mar 2022,"1,293,916,404",Development
125,OLIV,Oscar Mitra Sukses Sejahtera T,17 May 2022,"1,900,073,314",Acceleration
126,SWID,Saraswanti Indoland Developmen,07 Jul 2022,"5,385,019,201",Development
127,RAFI,Sari Kreasi Boga Tbk.,05 Agt 2022,"3,128,140,475",Watchlist
128,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,"1,307,530,330",Acceleration
129,TOOL,Rohartindo Nusantara Luas Tbk.,09 Agt 2022,"2,050,020,320",Development
130,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,"1,250,023,298",Development
131,ZATA,Bersama Zatta Jaya Tbk.,10 Nov 2022,"8,496,000,000",Development
132,ISAP,Isra Presisi Indonesia Tbk.,09 Dec 2022,"4,020,350,619",Acceleration
133,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,"1,030,080,995",Acceleration
134,FUTR,Futura Energi Global Tbk.,27 Feb 2023,"6,635,551,959",Development
135,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,"2,468,527,572",Acceleration
136,TYRE,King Tire Indonesia Tbk.,08 May 2023,"3,480,581,727",Development
137,VKTR,VKTR Teknologi Mobilitas Tbk.,19 Jun 2023,"43,750,000,000",Development
138,CNMA,Nusantara Sejahtera Raya Tbk.,02 Agt 2023,"83,345,000,000",Development
139,ERAL,Sinar Eka Selaras Tbk.,08 Agt 2023,"5,187,500,000",Main
140,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,"650,008,775",Acceleration
141,BABY,Multitrend Indo Tbk.,07 Sep 2023,"2,854,826,582",Watchlist
142,AEGS,Anugerah Spareparts Sejahtera ,11 Sep 2023,"1,006,080,721",Acceleration
143,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,"1,000,000,000",Development
144,UNTD,Terang Dunia Internusa Tbk.,07 Feb 2024,"6,666,666,700",Development
145,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,"2,608,081,058",Acceleration
146,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,"4,593,005,014",Development
147,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,"1,127,497,572",Development
148,SPRE,Soraya Berjaya Indonesia Tbk.,03 Jul 2024,"800,000,000",Acceleration
149,PART,Cipta Perdana Lancar Tbk.,05 Jul 2024,"2,814,762,946",Development
150,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,"19,486,760,000",Main
151,DOSS,Global Sukses Digital Tbk.,07 Agt 2024,"1,725,000,000",Development
152,VERN,Verona Indah Pictures Tbk.,08 Oct 2024,"4,765,648,183",Development
153,MDIY,Daya Intiguna Yasa Tbk.,19 Dec 2024,"25,190,392,000",Main
154,MERI,Merry Riana Edukasi Tbk.,10 Jul 2025,"1,035,132,500",Development
155,PMUI,Prima Multi Usaha Indonesia Tb,10 Jul 2025,"5,800,000,000",Development
156,KAQI,Jantra Grupo Indonesia Tbk.,10 Mar 2025,"2,075,800,000",Development
157,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,"2,425,354,179",Development
158,RAAM,Tripar Multivision Plus Tbk.,08 May 2023,"6,813,620,000",Main
159,DOOH,Era Media Sejahtera Tbk.,08 May 2023,"7,738,891,036",Development
160,ACRO,Samcro Hyosung Adilestari Tbk.,11 Jan 2024,"3,469,345,537",Development
161,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,"2,898,261,693",Development
162,PNSE,Pudjiadi & Sons Tbk.,01 May 1990,"797,813,496",Development
163,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,"2,495,753,334",Watchlist
