No,Code,Company Name,Listing Date,Shares,Listing Board
177,GDYR,Goodyear Indonesia Tbk.,22 Dec 1980,"410,000,000",Development
178,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,"1,600,000,000",Development
179,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,"5,882,353,000",Main
180,GGRM,Gudang Garam Tbk.,27 Agt 1990,"1,924,088,000",Main
181,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,"407,091,703,837",Development
182,GJTL,Gajah Tunggal Tbk.,08 May 1990,"3,484,800,000",Main
183,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,"1,111,112,000",Watchlist
184,GMTD,Gowa Makassar Tourism Developm,11 Dec 2000,"1,015,380,000",Development
185,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,"1,277,276,000",Development
186,GOLL,Golden Plantation Tbk.,23 Dec 2014,"3,665,000,759",Watchlist
187,GPRA,Perdana Gapuraprima Tbk.,10 Oct 2007,"4,276,655,336",Development
188,GSMF,Equity Development Investment ,23 Oct 1989,"14,230,399,705",Development
189,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,"2,500,000,000",Development
190,GWSA,Greenwood Sejahtera Tbk.,23 Dec 2011,"7,800,760,000",Main
191,GZCO,Gozco Plantations Tbk.,15 May 2008,"6,000,000,000",Development
192,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,"2,120,000,000",Watchlist
193,HDFA,Radana Bhaskara Finance Tbk.,10 May 2011,"6,542,445,783",Development
194,HERO,DFI Retail Nusantara Tbk.,21 Agt 1989,"4,183,634,000",Development
195,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,"840,000,000",Main
196,HITS,Humpuss Intermoda Transportasi,15 Dec 1997,"7,101,084,801",Watchlist
197,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,"116,318,076,900",Main
198,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,"22,212,194,782",Watchlist
199,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,"3,550,001,452",Watchlist
200,HRUM,Harum Energy Tbk.,06 Oct 2010,"13,518,100,000",Main
201,IATA,MNC Energy Investments Tbk.,13 Sep 2006,"31,275,829,981",Development
202,IBFN,Intan Baru Prana Tbk.,22 Dec 2014,"1,517,332,349",Watchlist
203,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,"1,350,904,927",Watchlist
204,ICBP,Indofood CBP Sukses Makmur Tbk,07 Oct 2010,"11,661,908,000",Main
205,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,"1,089,750,000",Development
206,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,"927,780,600",Development
207,IIKP,Inti Agri Resources Tbk,14 Oct 2002,"33,600,000,000",Watchlist
208,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,"13,305,799,387",Watchlist
209,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,"1,224,000,000",Development
210,IMAS,Indomobil Sukses Internasional,15 Nov 1993,"3,994,291,039",Main
211,IMJS,Indomobil Multi Jasa Tbk.,10 Dec 2013,"10,849,262,500",Development
212,IMPC,Impack Pratama Industri Tbk.,17 Dec 2014,"54,907,000,000",Main
213,INAF,Indofarma Tbk.,17 Apr 2001,"3,099,267,500",Watchlist
214,INAI,Indal Aluminium Industry Tbk.,05 Dec 1994,"633,600,000",Development
215,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,"207,656,617",Development
216,INCO,Vale Indonesia Tbk.,16 May 1990,"10,539,784,534",Main
217,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,"8,780,426,500",Main
218,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,"654,351,707",Development
219,INDS,Indospring Tbk.,10 Agt 1990,"6,562,497,100",Development
220,INDX,Tanah Laut Tbk,17 May 2001,"437,913,588",Development
221,INDY,Indika Energy Tbk.,11 Jun 2008,"5,210,192,000",Main
222,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,"5,470,982,941",Main
223,INPC,Bank Artha Graha Internasional,23 Agt 1990,"20,021,178,779",Main
224,INPP,Indonesian Paradise Property T,12 Jan 2004,"11,181,971,732",Development
225,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,"1,388,883,283",Development
226,INTA,Intraco Penta Tbk.,23 Agt 1993,"3,343,935,022",Watchlist
227,INTD,Inter Delta Tbk,18 Dec 1989,"591,828,000",Development
228,INTP,Indocement Tunggal Prakarsa Tb,05 Dec 1989,"3,515,602,799",Main
229,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,"6,443,379,509",Development
230,ISAT,Indosat Tbk.,19 Oct 1994,"32,250,810,957",Main
231,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,"7,185,992,035",Main
232,ITMA,Sumber Energi Andalan Tbk.,10 Dec 1990,"999,053,167",Development
233,ITMG,Indo Tambangraya Megah Tbk.,18 Dec 2007,"1,129,925,000",Main
234,JAWA,Jaya Agra Wattie Tbk.,30 May 2011,"16,232,951,842",Development
235,JECC,Jembo Cable Company Tbk.,18 Nov 1992,"756,000,000",Watchlist
236,JIHD,Jakarta International Hotels &,29 Feb 1984,"2,329,040,482",Development
237,JKON,Jaya Konstruksi Manggala Prata,04 Dec 2007,"16,308,519,860",Main
238,JPFA,Japfa Comfeed Indonesia Tbk.,23 Oct 1989,"11,726,575,201",Main
239,JRPT,Jaya Real Property Tbk.,29 Jun 1994,"12,910,719,100",Main
240,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,"7,257,871,200",Main
241,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,"2,318,736,000",Development
242,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,"6,852,050,000",Main
243,KAEF,Kimia Farma Tbk.,04 Jul 2001,"5,566,589,677",Development
244,KARW,Meratus Jasa Prima Tbk.,20 Dec 1994,"587,152,700",Watchlist
245,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,"4,007,235,107",Main
246,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,"1,120,000,000",Development
247,KBLV,First Media Tbk.,25 Feb 2000,"1,742,167,907",Development
248,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,"8,687,995,734",Watchlist
249,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,"1,620,000,000",Development
250,KIAS,Keramika Indonesia Assosiasi T,08 Dec 1994,"14,929,100,000",Watchlist
251,KICI,Kedaung Indah Can Tbk,28 Oct 1993,"276,000,000",Development
252,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,"20,824,888,369",Main
253,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,"5,000,000,000",Main
254,KLBF,Kalbe Farma Tbk.,30 Jul 1991,"46,813,391,540",Main
255,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,"2,272,500,000",Development
256,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,"980,843,732",Watchlist
257,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,"312,000,000",Development
258,KOPI,Mitra Energi Persada Tbk.,04 May 2015,"697,266,668",Development
259,KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,"99,857,559,263",Main
